method	definition	setting	stratum	folds	pool	MR_mean	MR_sd	MRR_mean	MRR_sd	H@1_mean	H@1_sd	H@3_mean	H@3_sd	H@10_mean	H@10_sd	H@100_mean	H@100_sd	AUC_mean	AUC_sd
ConvKB-D-pfs_owl2vecstar	train_csv	raw	all	10	4399	1655.812108	75.777377	0.031200	0.007097	0.014361	0.006628	0.028830	0.008072	0.059590	0.009187	0.190570	0.018113	0.623735	0.017230
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	zero overlap	10	4399	872.712392	49.035977	0.017009	0.002644	0.001917	0.001325	0.007971	0.004118	0.037469	0.008689	0.264584	0.025657	0.801793	0.011150
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	some overlap	10	4399	413.670095	69.308881	0.066198	0.008287	0.024039	0.006426	0.056761	0.012649	0.145816	0.017164	0.507596	0.036838	0.906169	0.015759
ConvKB-D-pfs_owl2vecstar	train_csv	calibrated	all	10	4399	670.069084	46.099501	0.038731	0.004283	0.011715	0.002992	0.029532	0.005160	0.085232	0.010822	0.371763	0.026335	0.847870	0.010482
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	zero overlap	10	4399	2574.944625	55.746810	0.001636	0.000346	0.000000	0.000000	0.000000	0.000000	0.001896	0.002224	0.026115	0.009449	0.414747	0.012675
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	some overlap	10	4399	597.808132	79.290265	0.065177	0.010201	0.027893	0.010213	0.063048	0.009947	0.131993	0.016317	0.397154	0.036719	0.864300	0.018029
ConvKB-D-pfs_owl2vecstar_gda	train_csv	raw	all	10	4399	1702.182826	64.721862	0.029670	0.004447	0.012308	0.004505	0.027804	0.004346	0.059301	0.006965	0.189816	0.018463	0.613192	0.014716
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	zero overlap	10	4399	861.213950	51.292553	0.018612	0.003708	0.003001	0.002970	0.010981	0.005741	0.037988	0.011832	0.254267	0.026148	0.804408	0.011663
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	some overlap	10	4399	399.796628	59.177605	0.070705	0.008839	0.027365	0.007961	0.061993	0.012318	0.154526	0.022707	0.516727	0.043412	0.909323	0.013456
ConvKB-D-pfs_owl2vecstar_gda	train_csv	calibrated	all	10	4399	657.426252	42.481932	0.041617	0.005066	0.013790	0.003836	0.033480	0.006859	0.089438	0.013464	0.370060	0.027883	0.850744	0.009659
